Application Number,Application: Buy Rate,Application: Funded Amount,Application: BPA Broker Negotiation,Application: Origination Fee,Application: Remittance Frequency,Primary Contact Gender,Application: Close Date,customer Age,Amount,crime_record,Applications received All Time,Applications received by last 1 Month,Applications received by last 3 Months,Applications received by last 6 Months,Average Daily Negatives,Average Monthly Sales,Avg Daily Bank Balance,Avg Number of Monthly Deposits,Brokers submitted All Time,Brokers submitted last 1 month,Brokers submitted last 3 months,Brokers submitted last 6 months,Credit Score,Daily Bank Balance v/s Daily Payment,Days,Factor Rate,Has Website,Industry,Inquiry Count,Months,Number of Trade Lines,Office Space,Open Bankruptcy,Position,Public Records,Sales to Payment,Satisfactory,Shipping State,Sum of Monthly Personal Debt,Time In Business Actual,Type,Volume - 4 Months Ago,Volume - 6 Months Ago,Volume - Three Months Ago,Yearly Total Sales,Outcome
APP-299057,1.25,9400.0,0,2.0,Daily,Male,1/3/2017,45.0,9400.0,drug,1.0,1.0,1.0,1.0,1.0,21058.16,1919.44,28.0,1.0,1.0,1.0,1.0,546.0,19.6745,132.0,1.37,Yes,Media,22.0,6.29,18.0,Rent,0.0,Second,2.0,15.83,17.0,AL,3650.0,9.8,New Deal,22102.87,17926.39,18362.82,252697.92,Pos
APP-296993,1.25,10500.0,0,2.0,Daily,Female,1/3/2017,48.0,10500.0,traffic,4.0,1.0,1.0,2.0,1.67,12810.58,811.7,31.0,1.0,1.0,1.0,1.0,555.0,7.5584,132.0,1.35,No,Dry Cleaning,5.0,6.29,24.0,Rent,0.0,First,0.0,17.7,10.0,FL,2963.0,4.1,Renewal,0.0,0,14802.14,153726.96,Pos
APP-299933,1.25,8700.0,0,2.0,Daily,Male,1/3/2017,64.0,8700.0,,3.0,1.0,1.0,1.0,3.75,45053.2,2885.86,38.5,2.0,1.0,1.0,1.0,652.0,33.4244,132.0,1.31,Yes,Retail,24.0,6.29,49.0,Rent,0.0,Second,0.0,17.81,46.0,FL,4403.0,39.7,Renewal,75397.01,70931.57,65112.4,540638.4,Pos
APP-298225,1.26,90000.0,0,2.5,Daily,Male,1/3/2017,36.0,90000.0,,5.0,2.0,2.0,3.0,5.33,116041.52,13292,39.0,1.0,1.0,1.0,1.0,678.0,16.3626,154.0,1.39,Yes,Healthcare,33.0,7.33,19.0,Own,0.0,Second,0.0,18.0,14.0,UT,5379.0,2.1,Renewal,256008.01,86403.46,116960.89,1392498.24,Pos
APP-300227,1.25,16500.0,0,2.0,Daily,Female,1/3/2017,34.0,16500.0,,1.0,1.0,1.0,1.0,0.0,35227.72,6089.67,25.67,1.0,1.0,1.0,1.0,628.0,37.1888,132.0,1.31,Yes,Healthcare,21.0,6.29,52.0,Own,0.0,Second,0.0,7.68,51.0,MI,6645.0,2.1,New Deal,31201.49,34193.91,77878.24,422732.64,Pos
APP-299307,1.25,27500.0,0,2.0,Daily,,1/4/2017,26.0,27500.0,,1.0,1.0,1.0,1.0,1.0,33408.82,2856.98,18.67,1.0,1.0,1.0,1.0,626.0,10.0097,132.0,1.37,Yes,Restaurant,17.0,6.29,16.0,Rent,0.0,First,0.0,0.0,16.0,FL,1023.0,2.8,New Deal,0.0,0,23700,400905.84,Neg
APP-299155,1.25,250000.0,0,2.0,Daily,Male,1/4/2017,50.0,250000.0,,1.0,1.0,1.0,1.0,0.0,353756.13,84529.58,14.33,1.0,1.0,1.0,1.0,601.0,42.8121,176.0,1.39,Yes,Food & Beverage,27.0,8.38,37.0,Own,0.0,Second,0.0,15.31,36.0,PA,3509.0,3.9,New Deal,395413.0,587977,419337.61,4245073.56,Neg
APP-299975,1.25,19500.0,0,2.0,Daily,,1/4/2017,60.0,19500.0,,2.0,2.0,2.0,2.0,0.17,23447.45,10728.5,7.67,1.0,1.0,1.0,1.0,649.0,55.8631,132.0,1.3,No,Paving,19.0,6.29,8.0,Rent,0.0,First,0.0,17.25,7.0,NC,439.0,13.2,New Deal,15322.65,14351.47,52021.48,281369.4,Neg
APP-299476,1.25,13000.0,0,2.0,Daily,,1/4/2017,64.0,13000.0,,2.0,2.0,2.0,2.0,0.33,51739.43,0,34.67,1.0,1.0,1.0,1.0,682.0,,132.0,1.37,Yes,Food & Beverage,50.0,6.29,32.0,Rent,0.0,Second,0.0,18.0,32.0,MI,5031.0,6.9,New Deal,63843.85,18606.39,50842.93,620873.16,Neg
APP-299063,1.25,15000.0,0,2.0,Daily,,1/4/2017,53.0,15000.0,traffic,1.0,1.0,1.0,1.0,0.75,49206.68,6726.84,22.25,1.0,1.0,1.0,1.0,653.0,43.2094,132.0,1.37,Yes,Contracting,16.0,6.29,18.0,Own,0.0,First,8.0,6.65,14.0,NJ,4614.0,,New Deal,46029.29,17595.23,73438.61,590480.16,Neg
APP-300814,1.25,10000.0,0,2.0,Daily,Male,1/4/2017,29.0,10000.0,,1.0,1.0,1.0,1.0,0.0,36615.82,13111.8,7.75,1.0,1.0,1.0,1.0,495.0,126.3301,132.0,1.37,Yes,Construction,30.0,6.29,28.0,Rent,0.0,First,0.0,0.0,28.0,MA,646.0,3.6,New Deal,82395.39,0,25473.25,439389.84,Pos
APP-300399,1.24,13500.0,0,2.0,Daily,Male,1/4/2017,22.0,13500.0,,1.0,1.0,1.0,1.0,0.0,20403.55,3992.61,22.67,1.0,1.0,1.0,1.0,670.0,23.9207,110.0,1.36,No,Towing,5.0,5.24,2.0,Rent,0.0,First,0.0,0.0,2.0,FL,119.0,12.0,New Deal,0.0,0,20332,244842.6,Pos
APP-300305,1.25,13500.0,0,2.0,Daily,Female,1/4/2017,52.0,13500.0,,1.0,1.0,1.0,1.0,0.5,16087.94,4657.64,33.25,1.0,1.0,1.0,1.0,616.0,33.2427,132.0,1.37,Yes,Spa/Salon,12.0,6.29,9.0,Rent,1.0,First,1.0,0.0,5.0,NJ,1671.0,24.7,New Deal,13024.06,0,14060.96,193055.28,Pos
APP-299374,1.25,10000.0,0,2.0,Daily,Male,1/4/2017,57.0,10000.0,drug,1.0,1.0,1.0,1.0,3.0,68622.67,2598.33,36.33,1.0,1.0,1.0,1.0,,25.7873,132.0,1.33,Yes,Auto Repair,,6.29,,Rent,,First,,0.0,,CA,,17.7,New Deal,0.0,0,69690.77,823472.04,Pos
APP-297430,1.25,30000.0,0,2.0,Daily,,1/4/2017,41.0,30000.0,drug,1.0,1.0,1.0,1.0,1.17,57732.98,13036.67,5.33,1.0,1.0,1.0,1.0,596.0,,132.0,1.37,Yes,Childcare,24.0,6.29,33.0,Rent,0.0,First,0.0,0.0,33.0,PA,4116.0,7.7,New Deal,58582.89,73914.76,85299.48,692795.76,Pos
APP-301075,1.25,30000.0,0,2.0,Daily,Male,1/4/2017,56.0,30000.0,,2.0,1.0,1.0,2.0,3.0,114328.78,6183.1,205.67,1.0,1.0,1.0,1.0,665.0,20.1522,132.0,1.35,Yes,Doctors,4.0,6.0,24.0,Rent,0.0,First,4.0,0.0,24.0,FL,51126.0,51.7,Renewal,0.0,0,106875.13,1371945.36,Pos
APP-299133,1.25,11500.0,0,2.0,Daily,Male,1/4/2017,62.0,11500.0,drug,3.0,1.0,1.0,1.0,0.25,43943.39,5971.48,10.0,3.0,1.0,1.0,1.0,468.0,50.0292,132.0,1.37,Yes,Consulting,22.0,6.29,11.0,Own,0.0,Second,1.0,11.44,8.0,MD,4207.0,21.5,New Deal,49743.88,0,41750.76,527320.68,Pos
APP-300656,1.27,12500.0,0,2.0,Daily,Male,1/4/2017,36.0,12500.0,,1.0,1.0,1.0,1.0,3.67,48605.1,1483.03,54.33,1.0,1.0,1.0,1.0,626.0,11.6007,132.0,1.35,Yes,Contracting,21.0,6.29,31.0,Rent,0.0,Second,0.0,12.29,31.0,TX,1965.0,2.9,New Deal,53331.8,90312.06,56736.82,583261.2,Pos
APP-300464,1.25,12000.0,0,2.0,Daily,Male,1/4/2017,39.0,12000.0,,3.0,1.0,1.0,1.0,0.0,29770.47,5735.63,15.33,2.0,1.0,1.0,1.0,608.0,,132.0,1.37,No,Construction,24.0,6.29,39.0,Rent,0.0,Second,3.0,12.68,36.0,CO,3747.0,15.1,Paid Renewal,27926.74,24842.19,68495.98,357245.64,Pos
APP-300495,1.25,16000.0,0,2.0,Daily,Male,1/4/2017,39.0,16000.0,drug,2.0,1.0,1.0,2.0,0.0,23232.29,3121.07,3.6,1.0,1.0,1.0,1.0,625.0,18.7948,132.0,1.37,No,Consulting,22.0,6.29,11.0,Rent,0.0,First,4.0,15.05,9.0,TX,2362.0,7.0,Renewal,21298.12,0,22634.14,278787.48,Pos
APP-299478,1.25,15000.0,0,2.0,Daily,Male,1/4/2017,49.0,15000.0,drug,1.0,1.0,1.0,1.0,5.0,40295.33,1007.42,38.67,1.0,1.0,1.0,1.0,664.0,6.6655,132.0,1.33,Yes,Auto Repair,11.0,6.29,26.0,Own,0.0,Second,0.0,17.28,26.0,PA,3984.0,13.2,New Deal,42654.08,35937.06,39475.85,483543.96,Pos
APP-299361,1.25,25000.0,0,2.0,Daily,Female,1/4/2017,56.0,25000.0,traffic,2.0,1.0,1.0,2.0,0.0,30561.65,8392.73,20.0,1.0,1.0,1.0,1.0,557.0,33.319,132.0,1.33,Yes,Childcare,10.0,6.29,38.0,Rent,0.0,First,0.0,17.35,37.0,PA,10441.0,1.7,Renewal,30673.0,24305,33812.46,366739.8,Pos
APP-300102,1.26,10000.0,0,2.0,Daily,Male,1/4/2017,44.0,10000.0,drug,4.0,1.0,1.0,2.0,0.0,26458.59,0,5.0,1.0,1.0,1.0,1.0,513.0,,154.0,1.38,No,Business Consulting,32.0,7.33,34.0,Own,0.0,Second,0.0,17.59,30.0,TX,4519.0,2.5,Parallel,10151.84,25001.25,39480.89,317503.08,Pos
APP-300092,1.24,6000.0,0,2.0,Daily,Male,1/4/2017,47.0,6000.0,,1.0,1.0,1.0,1.0,0.0,24986.28,4551.33,17.0,1.0,1.0,1.0,1.0,546.0,64.1846,110.0,1.3,Yes,Body Shops,15.0,5.24,5.0,Rent,0.0,First,0.0,17.75,4.0,IN,1715.0,17.6,New Deal,0.0,0,32577.66,299835.36,Pos
APP-292859,1.25,25500.0,0,2.0,Daily,Female,1/4/2017,35.0,25500.0,,2.0,1.0,1.0,2.0,1.25,31157.17,12532.5,8.0,1.0,1.0,1.0,1.0,547.0,47.3532,132.0,1.37,Yes,Contracting,14.0,6.29,10.0,Rent,0.0,First,0.0,17.95,6.0,NY,1536.0,,Paid Renewal,49317.51,21025.86,72177.97,373886.04,Pos
APP-300554,1.23,30000.0,0,2.0,Daily,Male,1/4/2017,51.0,30000.0,,2.0,2.0,2.0,2.0,0.67,374900.89,34597.21,39.67,2.0,2.0,2.0,2.0,737.0,81.1874,88.0,1.25,Yes,Transportation,45.0,4.19,26.0,Own,0.0,Third,0.0,18.0,26.0,CA,6543.0,12.0,New Deal,0.0,0,437450.31,4498810.68,Pos
APP-299072,1.25,11500.0,0,2.0,Daily,Female,1/4/2017,45.0,11500.0,,2.0,1.0,1.0,2.0,0.0,30591.35,5927.59,33.67,1.0,1.0,1.0,1.0,640.0,49.6614,132.0,1.37,No,Beauty salons,26.0,6.29,33.0,Rent,0.0,Third,0.0,18.0,27.0,UT,965.0,9.9,Renewal,0.0,0,39062.17,367096.2,Pos
APP-298158,1.25,12000.0,0,2.0,Daily,Male,1/4/2017,53.0,12000.0,,4.0,1.0,3.0,3.0,0.0,49781.8,6951.82,15.75,3.0,1.0,2.0,2.0,723.0,56.6432,132.0,1.35,No,Wholesale,35.0,6.29,11.0,Rent,0.0,Third,0.0,18.0,11.0,CA,1252.0,2.6,New Deal,43563.66,63849.55,57811.16,597381.6,Pos
APP-300139,1.26,11500.0,0,2.0,Daily,Male,1/4/2017,45.0,11500.0,,4.0,1.0,1.0,1.0,0.0,26271.72,9683.67,9.0,2.0,1.0,1.0,1.0,617.0,93.9706,154.0,1.38,No,Construction,24.0,7.33,28.0,Own,0.0,Second,0.0,18.0,26.0,PA,1415.0,3.1,Paid Renewal,17010.95,22707.42,85814.43,315260.64,Pos
APP-299353,1.25,20000.0,0,2.0,Daily,Male,1/4/2017,51.0,20000.0,,1.0,1.0,1.0,1.0,0.0,66715.44,15683.75,9.33,1.0,1.0,1.0,1.0,625.0,79.6251,132.0,1.3,Yes,Travel Agencies,21.0,6.29,12.0,Rent,0.0,First,0.0,6.25,9.0,FL,874.0,5.1,New Deal,0.0,0,68603.6,800585.28,Pos
APP-298357,1.25,15000.0,0,2.0,Daily,Male,1/4/2017,39.0,15000.0,,1.0,1.0,1.0,1.0,0.0,35767.85,6322,7.0,1.0,1.0,1.0,1.0,604.0,40.6089,132.0,1.37,No,Construction,9.0,6.29,18.0,Own,0.0,Second,0.0,7.72,18.0,MN,3703.0,8.3,New Deal,18567.0,28395,39146,429214.2,Pos
APP-300558,1.245,125000.0,0,2.0,Daily,Male,1/5/2017,34.0,125000.0,,3.0,1.0,1.0,2.0,0.0,389415.88,50694.76,14.0,1.0,1.0,1.0,1.0,599.0,37.8938,121.0,1.295,Yes,Machinery,20.0,5.76,7.0,Own,0.0,First,0.0,10.65,7.0,NC,3540.0,24.7,Renewal,563948.8,376706.2,218947.41,4672990.56,Pos
APP-300695,1.25,57000.0,0,2.0,Daily,Male,1/5/2017,36.0,57000.0,,3.0,1.0,1.0,3.0,0.0,148913.03,11036.33,23.67,2.0,1.0,1.0,2.0,609.0,18.6554,132.0,1.37,Yes,Media,36.0,6.29,36.0,Rent,0.0,Second,0.0,13.55,34.0,NV,3321.0,2.8,Paid Renewal,140510.0,153739,167654.42,1786956.36,Pos
APP-299816,1.25,6500.0,0,2.0,Daily,Male,1/5/2017,53.0,6500.0,,2.0,1.0,2.0,2.0,0.0,13930.67,3637.58,36.67,1.0,1.0,1.0,1.0,591.0,55.9628,132.0,1.32,Yes,Transportation,7.0,6.29,18.0,Rent,0.0,Second,1.0,17.62,17.0,IN,310.0,1.3,Parallel,16384.0,14991.22,14584.5,167168.04,Pos
APP-300634,1.25,18000.0,0,2.0,Daily,Female,1/5/2017,178.0,18000.0,,2.0,2.0,2.0,2.0,0.17,44801,18404,31.83,2.0,2.0,2.0,2.0,656.0,103.0228,132.0,1.31,No,Nail salons,15.0,6.29,34.0,Rent,0.0,Second,0.0,17.81,31.0,AL,252.0,394.2,Potential Dupe,52483.0,48920.47,42016.65,537612,Pos
APP-300898,1.25,11900.0,0,2.0,Daily,Male,1/5/2017,48.0,11900.0,drug,1.0,1.0,1.0,1.0,3.0,35149.11,2142.35,16.0,1.0,1.0,1.0,1.0,549.0,17.3456,132.0,1.37,Yes,Electrical,15.0,6.29,31.0,Own,0.0,Second,0.0,18.0,30.0,MA,4444.0,12.3,New Deal,23197.22,37635.55,38417.55,421789.32,Pos
APP-300193,1.25,90000.0,0,2.0,Daily,Male,1/5/2017,60.0,90000.0,,2.0,2.0,2.0,2.0,0.0,170376.27,87523.85,55.0,2.0,2.0,2.0,2.0,727.0,93.6996,132.0,1.37,Yes,Restaurant,17.0,6.29,20.0,Own,0.0,Second,0.0,18.0,20.0,IL,4225.0,3.3,Potential Dupe,245515.38,89228,266706.17,2044515.24,Pos
APP-299466,1.25,70000.0,0,2.0,Daily,Male,1/5/2017,46.0,70000.0,,1.0,1.0,1.0,1.0,0.0,360855.01,24217.68,113.33,1.0,1.0,1.0,1.0,643.0,33.3338,132.0,1.37,Yes,Travel Agencies,25.0,6.29,20.0,Rent,0.0,First,0.0,4.25,19.0,FL,1095.0,7.1,New Deal,409822.5,326493.09,376677.44,4330260.12,Pos
APP-300648,1.25,5000.0,0,2.0,Daily,Male,1/5/2017,36.0,5000.0,,8.0,1.0,1.0,1.0,4.67,17786.64,444.41,21.67,3.0,1.0,1.0,1.0,741.0,8.5645,132.0,1.37,No,Trucking,3.0,6.29,0.0,Rent,0.0,First,0.0,6.13,0.0,TX,0.0,6.4,Paid Renewal,0.0,0,17064.5,213439.68,Pos
APP-300059,1.25,17500.0,0,2.0,Daily,,1/5/2017,36.0,17500.0,traffic,2.0,1.0,2.0,2.0,0.33,46322.47,8150.86,24.0,1.0,1.0,1.0,1.0,663.0,,132.0,1.37,Yes,Food & Beverage,25.0,6.29,8.0,Rent,0.0,Second,0.0,9.66,6.0,OK,3313.0,2.6,New Deal,47616.67,53174.36,34752.08,555869.64,Pos
APP-301174,1.25,21500.0,0,2.0,Daily,Male,1/6/2017,44.0,21500.0,,4.0,1.0,1.0,1.0,0.83,84073.17,8158.73,89.67,4.0,1.0,1.0,1.0,625.0,36.5633,132.0,1.37,Yes,Healthcare,29.0,6.29,9.0,Rent,0.0,Second,0.0,12.47,9.0,CA,4184.0,,New Deal,93512.26,103833.17,198870.8,1008878.04,Pos
APP-300357,1.25,50000.0,0,2.0,Daily,Male,1/6/2017,77.0,50000.0,,1.0,1.0,1.0,1.0,0.67,87166.67,7904.83,6.0,1.0,1.0,1.0,1.0,619.0,15.2326,132.0,1.37,Yes,Manufacturing,9.0,6.29,18.0,Rent,0.0,First,1.0,12.55,15.0,NJ,4953.0,48.9,New Deal,0.0,0,104921.28,1046000.04,Pos
APP-298410,1.26,100000.0,0,2.0,Daily,Male,1/6/2017,55.0,100000.0,drug,1.0,1.0,1.0,1.0,0.0,363173.34,84532.96,28.33,1.0,1.0,1.0,1.0,664.0,94.3343,154.0,1.38,Yes,Consulting,30.0,7.33,19.0,Rent,0.0,Third,6.0,14.27,19.0,FL,60823.0,30.7,New Deal,0.0,0,217691.21,4358080.08,Pos
APP-301121,1.26,101000.0,0,2.0,Daily,Male,1/6/2017,56.0,101000.0,,5.0,1.0,2.0,2.0,1.33,243103.14,32993.94,44.0,1.0,1.0,1.0,1.0,631.0,36.455,154.0,1.38,Yes,HVAC,39.0,7.33,17.0,Own,0.0,Second,0.0,17.22,16.0,HI,8123.0,9.6,Paid Renewal,155303.0,263850.8,347024.5,2917237.68,Pos
APP-301605,1.25,10000.0,0,2.0,Daily,,1/6/2017,46.0,10000.0,,1.0,1.0,1.0,1.0,0.0,28282.59,5239.63,12.67,1.0,1.0,1.0,1.0,618.0,50.483,132.0,1.37,Yes,HVAC,7.0,6.29,18.0,Own,0.0,Second,1.0,18.0,18.0,SC,2046.0,3.3,New Deal,27023.07,27608.2,42875.15,339391.08,Pos
APP-300235,1.25,30000.0,0,2.0,Daily,Male,1/6/2017,51.0,30000.0,,1.0,1.0,1.0,1.0,1.33,36243.9,2553.62,70.0,1.0,1.0,1.0,1.0,546.0,4.256,132.0,1.32,Yes,Computers,2.0,6.29,5.0,Own,0.0,First,2.0,18.0,3.0,WA,3914.0,3.6,New Deal,0.0,0,36288.99,434926.8,Pos
APP-300031,1.26,23500.0,0,2.5,Daily,Male,1/6/2017,36.0,23500.0,,6.0,1.0,2.0,3.0,0.0,54714.61,18963.95,27.0,1.0,1.0,1.0,1.0,488.0,89.4062,154.0,1.39,No,Construction,22.0,7.33,11.0,Rent,0.0,Second,2.0,18.0,9.0,NJ,2575.0,6.7,Renewal,66991.17,111267.15,42721.37,656575.32,Pos
APP-301109,1.25,75000.0,0,2.0,Daily,Male,1/6/2017,53.0,75000.0,,2.0,1.0,1.0,1.0,0.0,203519.34,46692.79,33.33,1.0,1.0,1.0,1.0,632.0,60.8732,132.0,1.35,Yes,Real Estate,25.0,6.29,25.0,Rent,1.0,First,2.0,7.92,24.0,CA,937.0,8.7,Renewal,184409.42,255219,208227.53,2442232.08,Pos
APP-301486,1.25,10000.0,0,2.0,Daily,,1/6/2017,50.0,10000.0,,1.0,1.0,1.0,1.0,0.0,82882.29,28492.75,43.33,1.0,1.0,1.0,1.0,588.0,,132.0,1.34,Yes,Landscaping,43.0,6.29,16.0,Rent,0.0,Second,0.0,8.85,14.0,FL,3661.0,4.7,New Deal,94134.27,64025.99,69737.73,994587.48,Pos
